scenario,step,t,x,y,z,vx,vy,vz,x_used,y_used,z_used,vx_used,vy_used,vz_used,roll,pitch,yaw,p,q,r,ref_x,ref_y,ref_z,err_x,err_y,err_z,err_norm,thrust_cmd,rates_des_x,rates_des_y,rates_des_z,action0,action1,action2,action3,noise_active,dropout_active,dropout_mode,reward
normal,1780,8.904999999999992,1.2499123728539623,-0.47813767924662637,1.0035598358101439,0.15129219213351855,0.3880896194576294,-0.007495467961707685,1.2499123728539623,-0.47813767924662637,1.0035598358101439,0.15129219213351855,0.3880896194576294,-0.007495467961707685,-0.010902148091900012,-0.0072448655446248535,0.009136542463430848,-0.022928159792664823,0.058329574838452636,0.06484533804997232,0.772511963677861,-0.6350002094287648,1.0,-0.47740040917610127,-0.15686253018213842,-0.003559835810143852,0.5025233093973317,0.2612556892230957,-0.07540947804874261,-0.02658840920260772,-0.03832422572734532,0.12781863,-0.07201075,-0.02539006,-0.03659694,False,False,NONE,-0.5051743672420904
normal,1781,8.909999999999993,1.2514170601844603,-0.4742556711481635,1.0034975147860583,0.15019966183413824,0.38823932993797006,-0.005849707051872722,1.2514170601844603,-0.4742556711481635,1.0034975147860583,0.15019966183413824,0.38823932993797006,-0.005849707051872722,-0.010596313506402597,-0.007167317171097031,0.009862461004717207,0.04706081176237497,-0.01329782042381078,0.0760069347643681,0.7745030601987308,-0.6325701619131281,1.0,-0.4769139999857295,-0.15831449076496457,-0.003497514786058309,0.5025163420011702,0.26084968934880787,-0.08199109713754303,-0.02920437285001318,-0.041252556045002546,0.12412343,-0.07829573,-0.027888121,-0.03939329,False,False,NONE,-0.5051676017693129
normal,1782,8.914999999999994,1.2529111111324707,-0.4703722734344359,1.0034474197505692,0.14913838395013138,0.3883708932600198,-0.0045782369737930725,1.2529111111324707,-0.4703722734344359,1.0034474197505692,0.14913838395013138,0.3883708932600198,-0.0045782369737930725,-0.009970421991440805,-0.007468196978204505,0.010716830072053119,0.062103954561740476,-0.042869036399112145,0.08837377436160451,0.776486512687076,-0.6301338711853722,1.0,-0.47642459844539464,-0.15976159775093635,-0.0034474197505691695,0.5025097519677844,0.26053617603362783,-0.09135241935390062,-0.029173071285762728,-0.044696824389526324,0.121269986,-0.08723514,-0.027858231,-0.042682324,False,False,NONE,-0.505160931767607
normal,1783,8.919999999999995,1.2543944277349506,-0.46648800239648436,1.0034096621793664,0.14805879893420598,0.38844169552970714,-0.0034028655295605618,1.2543944277349506,-0.46648800239648436,1.0034096621793664,0.14805879893420598,0.38844169552970714,-0.0034028655295605618,-0.009593270714799994,-0.00829978133096622,0.011644923066468667,0.02425511544525477,-0.09663626958266958,0.09259161042276615,0.7784623015670213,-0.627691361290703,1.0,-0.47593212616792924,-0.16120335889421866,-0.003409662179366446,0.5025032710676434,0.26024226054745747,-0.09945651565400526,-0.024668209038134208,-0.04843830867485469,0.118594915,-0.094973974,-0.023556404,-0.04625518,False,False,NONE,-0.5051537293932242
normal,1784,8.924999999999995,1.2558663813332223,-0.46260327964999604,1.0033972144398902,0.14689930118882813,0.38848089138478653,-0.00046620192906338055,1.2558663813332223,-0.46260327964999604,1.0033972144398902,0.14689930118882813,0.38848089138478653,-0.00046620192906338055,-0.009877274547139322,-0.009459300375604959,0.012595482330981917,-0.054563937865508054,-0.1217826708216458,0.09330708436447332,0.7804304073383276,-0.6252426563357079,1.0,-0.4754359739948947,-0.16263937668571182,-0.0033972144398901616,0.5024962420587259,0.25947580005409576,-0.10263247979165747,-0.016562930673571064,-0.05227203443873515,0.11161897,-0.0980068,-0.015816433,-0.049916115,False,False,NONE,-0.5051449234238731
normal,1785,8.929999999999996,1.257325942518183,-0.4587181557388017,1.0034150100112535,0.14563087247800394,0.38852830797639526,0.002624932505236064,1.257325942518183,-0.4587181557388017,1.0034150100112535,0.14563087247800394,0.38852830797639526,0.002624932505236064,-0.010858557936556105,-0.010626265364620763,0.013462615597104497,-0.10114581689398518,-0.1178434654861478,0.08263372273542995,0.7823908105765863,-0.6227877804881147,1.0,-0.47493513194159676,-0.16406962474931297,-0.0034150100112535497,0.5024876949848018,0.2586551658424987,-0.10008344976831228,-0.007084107377345587,-0.055774224042218226,0.104149975,-0.09557266,-0.006764824,-0.05326046,False,False,NONE,-0.5051337660611848
normal,1786,8.934999999999997,1.2587719475410042,-0.4548319486942268,1.0034635396125533,0.14424787307965448,0.38865945899266474,0.0055512768665847735,1.2587719475410042,-0.4548319486942268,1.0034635396125533,0.14424787307965448,0.38865945899266474,0.0055512768665847735,-0.011758924537295073,-0.011625682023247173,0.014239858531439215,-0.08223263553307839,-0.10047761779042177,0.07421045957434505,0.7843434919334087,-0.6203267579765577,1.0,-0.4744284556075955,-0.1654948092823309,-0.0034635396125533013,0.5024767531898874,0.2578636822696409,-0.09710128913650116,0.0024287916627499357,-0.0589187954258857,0.096946284,-0.092724904,0.0023193252,-0.056263305,False,False,NONE,-0.5051195537396942
normal,1787,8.939999999999998,1.2602034173481715,-0.45094378703625093,1.0035346781895478,0.1427714614827528,0.38887568932493993,0.007676623209128022,1.2602034173481715,-0.45094378703625093,1.0035346781895478,0.1427714614827528,0.38887568932493993,0.007676623209128022,-0.012704891909128416,-0.01266565074768493,0.014943249260074712,-0.10462523383274797,-0.10384198459395372,0.06657644536860789,0.786288432136618,-0.6178596130903354,1.0,-0.4739149852115535,-0.1669158260540845,-0.0035346781895477797,0.5024627350812079,0.25727156119986966,-0.09265284494729362,0.013388361555271884,-0.06176971646357787,0.09155709,-0.08847695,0.012784944,-0.058985732,False,False,NONE,-0.5051015845679493
normal,1788,8.944999999999999,1.2616194277032928,-0.4470528719939544,1.0036227160675784,0.14120284051839885,0.38917182528836225,0.009158716737276942,1.2616194277032928,-0.4470528719939544,1.0036227160675784,0.14120284051839885,0.38917182528836225,0.009158716737276942,-0.014297206360619508,-0.013972812417899301,0.015479493931762723,-0.18510132989335573,-0.14324266870265154,0.047119708020334744,0.7882256119904396,-0.6153863701791721,1.0,-0.4733938157128532,-0.1683334981852177,-0.0036227160675783576,0.5024450173284175,0.2568400808944963,-0.08197663855241615,0.027580310407532903,-0.06395339388515932,0.087629974,-0.078281924,0.026337257,-0.061070994,False,False,NONE,-0.5050793727157475
normal,1789,8.95,1.2630190306722053,-0.44315815218769994,1.0037154591787758,0.13953401174552119,0.3895876627855812,0.009353744363090551,1.2630190306722053,-0.44315815218769994,1.0037154591787758,0.13953401174552119,0.3895876627855812,0.009353744363090551,-0.016370014530667963,-0.015658558116541925,0.015870551816500073,-0.20736817349878534,-0.18264697735156493,0.03303073249422485,0.7901550123756899,-0.6129070536529773,1.0,-0.4728640182965155,-0.16974890146527732,-0.003715459178775804,0.5024230030413664,0.256743307410413,-0.06590235337318687,0.04599639413810062,-0.06555730180364996,0.086749196,-0.06293211,0.043923322,-0.06260261,False,False,NONE,-0.5050521441874433
